Test,Reference
3,415
3,649
9,5
25,32
25,41
26,37
27,46
29,72
32,25
32,41
34,40
35,66
35,75
35,191
40,34
41,25
41,32
44,34
44,40
44,806
44,1049
44,1054
46,27
49,27
49,46
49,95
49,344
49,375
49,498
49,505
49,759
49,790
54,27
54,34
54,40
54,46
55,480
55,482
55,556
55,805
55,806
55,838
55,858
55,1049
55,1054
57,12
57,29
57,64
57,72
59,475
59,493
64,12
64,29
64,57
64,72
65,34
65,40
66,35
66,75
66,191
68,67
70,10
72,29
73,67
73,68
75,191
83,85
86,88
88,86
95,27
95,46
95,49
95,344
95,375
95,498
95,505
95,759
95,790
103,104
104,103
107,108
108,107
121,27
121,46
121,49
121,95
121,129
121,163
121,344
121,375
121,498
121,505
121,759
121,790
129,27
129,46
129,49
129,95
129,163
129,344
129,375
129,498
129,505
129,759
129,790
133,141
133,171
133,1103
141,133
141,171
141,1103
142,1103
144,151
151,144
154,1141
163,27
163,46
163,49
163,95
163,129
163,344
163,375
163,498
163,505
163,759
163,790
171,133
171,141
171,1103
176,194
176,239
185,819
188,289
188,296
188,809
188,891
188,1000
188,1005
188,1010
188,1023
194,176
194,239
197,220
197,236
197,1066
199,330
215,223
215,230
219,800
220,197
220,236
220,1066
223,230
225,524
228,237
228,243
235,261
235,326
235,344
235,656
235,676
235,774
235,1126
235,1127
236,197
236,220
236,1066
237,228
237,243
242,235
242,261
242,326
242,344
242,656
242,676
242,774
242,1076
242,1126
242,1127
243,228
243,237
261,344
263,546
282,298
285,292
289,188
289,296
289,809
289,891
289,1000
289,1005
289,1010
289,1023
292,285
297,307
298,282
303,300
305,424
305,434
305,1075
321,325
326,656
326,676
326,774
326,1126
329,222
333,713
333,785
333,789
342,93
342,442
342,850
342,946
351,673
351,747
361,771
361,1167
362,170
365,326
365,380
365,382
365,656
365,676
365,774
365,1126
371,126
375,27
375,46
375,49
375,95
375,344
375,498
375,505
375,759
375,790
380,382
382,380
391,183
411,380
411,382
411,383
421,183
421,391
436,186
436,511
442,850
465,857
471,34
471,40
471,65
471,89
471,93
471,285
471,292
471,442
471,456
471,498
471,505
471,590
471,850
471,936
471,946
475,59
475,493
476,27
476,46
476,49
476,95
476,129
476,163
476,344
476,375
476,470
476,478
476,498
476,505
476,552
476,586
476,609
476,616
476,646
476,691
476,694
476,759
476,790
476,816
476,835
476,984
476,986
476,1119
480,55
480,482
480,556
480,805
480,806
480,838
480,858
480,1049
480,1054
482,55
